"Derwent Innovation Patent Export, 2020-09-05 10:53:04 +0000 "
标题 - DWPI,标题 (原文),标题 (英语),摘要 - DWPI,摘要 (原文),摘要 (英语),专利权人 - DWPI,优先权日 - DWPI,优先权日,优先权日 - 最早
"","纱线定长装置","yarn length control device","","本实用新型提供了一种能独立进行断头检测的纱线定长装置。适用于纺织厂络筒机生产定长纱线。它主要由磁钢、干簧开关、活动导杆等组成，依靠走纱或不走纱所产生的纱线张力或张力消失，使活动导杆产生前后(或上、下)运动，从而使磁钢与干簧开关分离或接近，干簧即断开或闭合相应电路，通知定长计数器停止或进行纱线长度计数。","The utility model claims a yarn-length device can independently break detection. suitable for factory producing staple yarn. It is mainly composed of magnetic steel, a reed switch and a movable guide rod, depending on the yarn or yarn produced by the yarn tension or tension disappears, the movable guide rod (or up and down) motion, so as to make the magnetic steel separation or proximity with the reed switch, the reed is cut or close the corresponding circuit, informing the counter stop or yarn length counting.","","","1987-05-12","1987-05-12",
"","织机贮纬器","loom weft storing machine","","本实用新型属纺织机械，是织机贮纬器的一种改进。  这种织机贮纬器特点是电动机与贮纬筒结合在一起，电动机以贮纬筒为外壳，因而结构紧凑、体积小。当采用单相交流电动机，并在电动机的进线上连接一个双向可控硅，在双向可控硅的控制极与电源之间连接一个舌簧管时，控制电路十分筒单，整个贮纬器成本很低。本织机贮纬器适用于任何型号的无梭织机。","This utility model belongs to textile machinery, an improved loom weft storage machine. The loom weft storage machine is a motor combined with the weft storing cylinder, motor to weft storing cylinder is a shell, so the structure is compact and the volume is small. when the single-phase AC motor, and the inlet of the motor is connected with a bidirectional thyristor is connected with a reed and the power at the control electrode of the bidirectional thyristor, the control circuit is very simple, the whole weft storage machine cost is low. The loom weft storage machine suitable for shuttleless loom of any type.","","","1986-04-19","1986-04-19",
"","梳理机剥纤装置的螺旋圆刷","spiral brush fiber device of stripping mechanism for carding machine","","本实用新型提供一种改进的用于清洁梳理机剥纤装置剥纤锯齿辊和转移锯齿辊的螺旋圆刷。将于每根直径5～8毫米光圆钢两根并列，紧夹着长度40～80毫米的鬃毛，绞盘成导程角15°～30°的双头螺纹芯轴螺旋圆刷。其鬃毛具有良好的弹性和揩刷作用，能有效的清除上述两种锯齿辊上遗留纤维防止了轧坏梳理机的问题。对于被清除下来包绕在螺旋刷上的纤维，由于鬃毛弹性良好，很容易清除掉，使清洁后的螺旋圆刷迅速投入使用，从而提高梳理机生产效率。","The utility model claims an improved stripping mechanism for carding machine for cleaning fiber device finishes the spiral circular brush saw-tooth roller and the transfer roller. the parallel to each 5~8 diameter polished round steel two, tightly clamping the length of bristles 40~80, winch to lead angle 15 degrees to 30 degrees double-thread spindle spiral round brush. the bristle has good elasticity and wiping brush effect, which can effectively remove legacy fibre for preventing the problem of being rolled on the two saw-tooth roller. For removing wrapping fibre, because the spiral brush bristle with good elasticity and is easy to remove, so that the spiral brush cleaning after rapidly put into use, so as to improve the production efficiency of the carding machine.","","","1987-07-06","1987-07-06",
"","矿工工作服","Miner work clothes","","一种矿工用工作服，分上衣、裤子，整套服装均有面层(7)、保温层(8)和里层(9)三层，其面层(7)为能防水、防风、防霉、防静电和耐燃烧的明亮色(如黄色或浅灰色)纯棉织物，上衣的前胸后背处有回光反射标志(3)，腋下有透气孔(4)，后背臀部设有防酸层(6)，衣领(1)为可翻为立领的小方领。在袖口和裤口处缝有拉链(5)，可使袖口和裤口按需要宽松或锁紧，矿工穿用本服装工作安全，舒适，利于身体健康。","A miner for work clothes, jacket, trousers, the complete set of clothes with a surface layer (7), insulating layer (8) and inner layer (9), the surface layer (7) is water-proof, wind-proof, mildew-proof, anti-static and anti-burning bright colors (such as yellow or light grey) pure cotton fabric, the front chest and back of the coat is provided with return light reflecting mark (3), armpit with a vent hole (4), back hip provided with acid-proof layer (6), a collar (1) is quadrate is stand-up collar of the collar. zipper (5) is sewed at the cuff and trouser mouth, cuff and trousers can be loose or locking, the miner wearing the clothes is safe, comfortable and good for health.","","","1987-09-17","1987-09-17",
"","一种混纺华达呢","A blending gabardine","","本实用新型属于机织布领域，涉及使用不同种类的经纱或纬纱机织布的混纺华达呢。本设计华达呢的经纱是精纺羊毛纱线，纬纱是涤纶长丝。精纺羊毛纱线为30～45支二合股线，涤纶长丝为20支～40支单股线，本设计华达呢物美价廉、挺括、光泽柔和、美观大方。","The utility model belongs to the weaving field, relates to the use of warp or weft woven fabric of different kinds of blended gabardine. the warp of the design is worsted wool gabardine yarn, weft is terylene filament. worsted wool yarn is 30~45 count two-twisted yarn, terylene filament is 20 ~ 40, the branch wires gabardine cheap design, stiff, soft lustre and beautiful.","","","1988-05-03","1988-05-03",
"","无纬针刺组合机的引经装置","non-woven needling machine combined with guiding device","","一种无纬针刺组合机的引经装置，它包括装在机架上的可调握臂下端的底板装一组导纱钩。机架中间部位装一个固定方套，活插入一组大伸缩套、中伸缩套和伸缩方轴，伸缩方轴端部装一托板、电加热器、沟槽金属板和前、后梳针。一片经纱先通过导纱钩，再通过前梳针，再嵌入沟槽金属板的沟槽，而后通过后梳针、绕过绕纱辊、张力辊，形成环状经纱层，经纱头端也嵌入沟槽金属板的沟槽内，经加热胶粘，胶粘牢固。","A device with non-woven needling machine, comprising a bottom plate of the adjustable arm is installed on the stander and lower end equipped with a group of Twizzle. frame middle part is equipped with a fixing sleeve, inserting a group of large telescopic sleeve and telescopic sleeve and telescopic square shaft, the square shaft end is installed with a supporting plate, an electric heater, a groove metal plate and front and back comb. a warp yarn by yarn, and then through front comb, and embedded into the groove of the metal plate groove, then through the back, around the yarn winding roller, tension roller, to form an annular warp layer, warp head is embedded into the groove of the metal plate groove, the heated adhesive, adhesive firmly.","","","1987-10-19","1987-10-19",
"","无纬针刺组合机的绕纱装置","non-woven needling machine of yarn winding device","","一种用于直接在无纬针刺造纸毛毯的组合织机上进行经纱绕纱的装置，包括绕纱辊、导辊和张力辊，特点在于增置一根绕纱丝杆和一根定位丝杆，并将绕纱辊和张力辊调速同步，则经纱如同螺母在丝杆上相对运动而旋绕于绕纱辊、导辊和张力辊上，则无需纬纱即可进行针刺织毯。适用于无纬针刺造纸毛毯的生产，缩短工艺流程，降低生产成本。","A papermaking felt for direct needling loom device for warp yarn winding on the non-woven, comprising a winding roller, a guide roller and a tension roller, characterized in that a yarn winding screw and a locating screw and the winding roller and tension roller speed synchronization, the warp like relative movement on the screw mandrel nut and wound on the yarn winding roller, a guide roller and a tension roller, then there is no need to weft can be needled blanket. is applicable to the production of non-woven fibre prickling paper-making blanket, shortens the process flow, reduces the production cost.","","","1988-04-18","1988-04-18",
"","棉籽助排器","cotton seed auxiliary discharging device","","棉籽助排器是棉花加工系统的轧花机上的主要部件，其特征是改变传统的设计方法，在现有设备的基础上，以加这套装置就可提高产量和质量，并且又节能，经济效益显著。","cotton seed auxiliary discharging device is main part of gin cotton on the processing system, wherein the changes the traditional design method, on the basis of the existing device, to add the device can improve the yield and quality, and it is energy-saving and it has prominent economic benefit.","","","1987-05-29","1987-05-29",
"","新型浮云式吸声板","Novel floating type sound","","本实用新型涉及一种新型浮云式吸声板，由串孔板、铺在串孔板上的吸声材料层、安放串孔板和吸声材料的框架所组成，本吸声板的串孔板上交错均匀排列大小两种孔径的吸声孔，吸声材料为超细玻璃棉或矿棉，由绵纶或涤纶布包裹，外面还裹有尼龙定型网。本吸声板声频率宽，吸声效果好，可用于纺织车间的消声。","The utility model claims a new floating type sound, comprising string hole plate paved on the cuniculis plate of the sound absorption material layer, placing the frame string pore plate and sound absorbing material, the sound absorbing plate of the string on the pore plate are crossly and uniformly arranged sound holes size of two apertures, sound absorption material is superfine glass wool or mineral wool, also coated with nylon net outside is wrapped by the chinlon or terylene. The sound absorbing plate acoustic frequency width, good sound absorption effect can be used for silencing of textile workshop.","","","1988-08-30","1988-08-30",
"","纱线微波定捻装置","microwave drying yarn twisting device","","本实用新型提供一种纱线微波定捻装置，适用于纺织厂各种纱线特别是上蜡筒子纱的定捻。它主要由输送带、加热器、波导管、微波源组成。依靠输送带将纱线依序送入加热器内，接受微波定捻处理，然后由滑道输出，实现了纱线定捻装置的小型化、高速化、连续化。","The utility model claims a microwave drying yarn twisting device, suitable for textile yarns in particular twist wax cheese. It is mainly composed of conveying belt, a heater, a waveguide and microwave source. on the conveying belt orderly into the yarn heater, receiving the microwave set twist processing, and then output by the slide, which realizes miniaturization of yarn twist device, high speed and continuous.","","","1988-10-08","1988-10-08",
"","折板-弧型棱柱联合消声器","flap-arc prism combined muffler","","本实用新型涉及一种折板—弧型棱柱联合消声器，属于环保设备技术领域。本实用新型由折板消声框和成弧形栅栏式排列的多个棱形吸声柱两部分构成，折板为夹层结构，棱型吸声柱为空心结构，两者均填有吸声材料，并钻有均匀排列的吸声孔，孔径3～6毫米，穿孔率为5～10％。本消声器设计合理，消声效果好，用于纺织车间空调室消声，能使环境噪声以105分贝降到65分贝以下。","The utility model claims a flap-arc prism combined muffler, which belongs to the technical filed of the environmental protection equipment. a plurality of prism-shaped sound absorbing column are part of this utility model is composed of a folding plate voice removing frame and arranged in arc fence is composed of folding plate is interlayer structure, prismatic sound absorbing column is a hollow structure, two of them are filled with sound absorbing material and sound absorbing holes are uniformly arranged; the aperture is 3~6 millimetres and punching rate is 5 ~ 10%. The muffler has reasonable design, good silencing effect, for textile workshop air conditioner room noise, the ambient noise by 105 decibels to 65 decibels or less.","","","1988-08-18","1988-08-18",
"Process for increasing the soybean protein content in food involves adding animal fat to mixt. of chopped soybean protein and water and emulsifying obtd. compsn.","增加食品中大豆蛋白质含量的方法","Method for increasing content and quality of soybean protein in food","","本发明属于增加食品中大豆蛋白质含量的制作 方法。目前在食品中含有少量(一般在6％以下)大 豆蛋白质作辅料，起保水剂和乳化剂作用。大豆蛋白 质是营养丰富的植物蛋白，但在食品中加大其含量存 在技术困难。本发明提供增加食品中大豆蛋白质含 量的新方法，先将蛋白质与水以一定比例混合斩拌， 再加入油脂继续斩拌使其乳化为一体，再加入其他成 份制成食品，使大豆蛋白质含量可增加到10～ 60％。提供了高含量大豆蛋白质的食品。","The invention belongs to the making method of soybean protein content in food. currently contains little in food (usually below 6%) and soybean protein as auxiliary materials, water-retaining agent and emulsifier. soybean protein is rich in nutrition of plant protein, but increase the content of technical difficulty exists in food. The invention claims a new method for increasing content and quality of soybean protein in food, comprising the following steps: firstly the protein mixing and chopping and water according to a certain proportion, then adding grease to the emulsion as a whole, and adding other components to prepare food, the soybean protein content can be increased to 10 to 60%. The invention claims a high-content soybean protein foods.","HARBIN FREEZING FAC","1987-12-11","1987-12-11","1987-12-11",
"Utilisation of fresh animal bones from meat prods. by subjecting to high temp. and pressure and adding to other components to prepare sausages, etc.","动物鲜骨在肉制品中的应用方法","animal bone in the meat product application method","","一种动物鲜骨在肉制品中的应用方法，属于一种 食品的加工方法，它是将动物鲜骨先经高温高压处理 制成骨泥，将骨泥与其它原料配合制成香肠、午餐肉 等肉制品可增加肉制品的营养价值，提高肉制品的质 量，增加肉制品的风味，并降低肉制品的加工成本。","An application method of animal fresh bone in the meat product, belonging to a processing method of food, which is the animal fresh bone into bone paste through high temperature and high pressure processing, the grain and other materials matching sausage, luncheon meat and meat products can increase the nutritional value of the meat product, improving the quality of meat product and increases the flavour of meat product and reduces the processing cost of the meat product.","HARBIN FREEZING FAC","1987-12-09","1987-12-09","1987-12-09",
"","两级两段式管道消声器","two-stage two-stage pipeline silencer","","本实用新型涉及一种两级两段式管道消声器，属于环保设备技术领域，本消声器包含空气和吸声材料两级吸声层，同时整个套管在中间由金属隔板隔断，构成两个消声段，管道和吸声材料内衬套管的壁上均匀分布有吸声孔。本消声器的消声效果在30分贝以上，用于毛纺织厂精染车间蒸呢机抽冷泵排出管道的消声，能使噪音降到背景噪声以下。","The utility model claims a two-stage two-stage pipeline silencer, belonging to the technical field of environment-friendly device, the muffler comprises air and a sound absorbing material, the two-stage absorption, meanwhile the whole sleeve in the middle by the metal clapboard to form walls of the two muffling pipe and the sound-absorbing material lining sleeve is uniformly distributed with sound absorbing holes. the silencing effect of the silencer is more than 30 db, for wool textile workshop machine cold pump discharge muffler of the pipeline , can make the noise falls below the background noise.","","","1988-08-18","1988-08-18",
"","气水分凝式蒸汽诱导器","gas-water condensing steam inducer","","本实用新型涉及一种气水分凝式蒸汽诱导器，包括进气口、排气通道、气窗等部分。本实用新型的特征是，在排气通道的底部有一排液漏斗。本气水分凝式蒸汽诱导器可用于各种室内温湿度较大的房屋排除高温高湿气体，解决了普通蒸汽诱导器水汽倒流及冬天结冰堵塞进气口的问题，特别适用于纺织印染厂的高温高湿车间。","The utility model claims a gas-water condensing steam inducer, comprising an air inlet, an exhaust passage, an air window and so on. The characteristic of the utility model is that the bottom of the exhaust channel is provided with a liquid drainage funnel. The gas-water condensing steam inducer can be used in all kinds of large house indoor temperature and humidity discharging gas of high temperature and high humidity, it solves the problem that common steam induction water backflow and winter icing blockage problem of air, especially suitable for textile printing and dyeing in high temperature and high humidity in workshop.","","","1988-09-07","1988-09-07",
"","无纬针刺组合机的喂给装置","non-woven needling machine combined with feeding device","","左右行车墙板由机架连结成刚体结构。筒子架装在机架右侧，纱条从筒子架的筒子纱引出，通过导纱器，张力导纱磁头和分纱梳针向前喂给。左右行车墙板下部由两对有边滑轮和齿轮滑轮活动支承，前述齿轮与左右齿条导轨的齿条啮合，当电机传动齿轮滑轮倒转或顺转，使张力辊对其所绕的环形毯基布经纱的圈长和张紧度作粗调，左右行车墙板上的丝杆，由机驱使其倒转或顺转，使张力辊对前述经纱的圈长和张紧度作微调。","left and right driving plate connected into a rigid body structure by the frame. the bobbin frame is extracted from cheese bobbin bracket of the frame right side, the sliver, fed forward to the yarn tension yarn guide magnetic head and a yarn dividing comb. left and right driving wall lower part is composed of two pairs of sides of the pulley and gear pulley is movably supporting said gear engaged with the right rack guide rail rack, when the motor drive gear pulley reverse or clockwise, the tension roller and tension ring of annular carpet base cloth warp of the coarse adjustment screw on the right wallboard, composed of a machine drive it to reverse or clockwise, the tension roller as fine tuning the length and tension of the warp.","","","1988-06-03","1988-06-03",
"","凸轮","cam","","本实用新型提供一种机械控制的传动凸轮，将凸轮实际廓线易磨损处铣一条凹槽，在凹槽内镶焊一块硬质金属材料，从而延长了凸轮使用寿命，节约了由于凸轮磨损而用于机械维修的时间，提高了机械效率。","The utility model claims a transmission cam of mechanical control, the cam outline line easy to wear is milled with a groove, in the groove welded with a hard metal material so as to prolong the service life of cam and saves and time for mechanical maintenance due to abrasion of the cam, and the mechanical efficiency is improved.","","","1988-12-27","1988-12-27",
"Non-flammable polyacrylonitrile fibres prodn. by blending with water-soluble fibre, spinning, weaving and eliminating soluble component","聚丙烯腈预氧化纤维的纺织方法","spinning method of polyacrylonitrile pre-oxidized fibre","","一种用普通聚丙烯腈纤维纺织设备生产聚丙烯 腈预氧化纤维纯织物的方法，是用水溶性纤维与聚丙 烯腈预氧化纤维混纺，织造成织物后再溶去水溶性纤 维，最后获得纯聚丙烯腈预氧化纤维织品。这种方法 工艺简单，织物成本低，成纱强力和织造效率较高，织 物耐燃性好，在明火中不起火、耐火极限氧指数可达 48～60。这种织物可用于坦克、大炮等军事装备的 罩衣；也可作特种防火服。是理想的防火纺织材料。","A common polyacrylonitrile fibre spinning device for producing method of polyacrylonitrile pre-oxidized fibre pure fabric, which uses water-soluble fibre and polyacrylonitrile pre-oxidized fibre, woven into a fabric and then dissolving the water-soluble fibre, finally obtaining pure polyacrylonitrile pre-oxidized fibre fabric. The method has simple technique, low fabric cost, the yarn strength and high weaving efficiency, good fabric flame and fire in the fire, a fire-resistant limit oxygen index can reach 48~60. The fabric can be used for military equipment such as tanks, cannon coat; it also can be used as special fireproof clothes. is the ideal fireproof textile material.","RES INST TEXTILE SC","1988-03-29","1988-03-29","1988-03-29",
"","红外线反射光电探纬器","Infrared reflecting photoelectric weft detector","","红外反射式光电探纬器，是用于有梭织布机上的一种探测纬纱有无的辅助器械；当纬纱用尽时起自动停机使用，便于挡车工人及时换上新的纬纱继续织造。  本实用新型红外反射式光电探纬器是由光电探测头和控制箱两部分组成。半透反光膜呈45°角处于聚光透镜和光敏三极管之间，光敏三极管两端接光电控制电路。","infrared reflective photoelectric weft detecting device, which is used for a method for detecting weft shuttle loom is provided with no auxiliary instrument, when the weft yarn end automatically stopping using, convenient for worker replacing new weft woven continuously in time. The utility model claims an infrared reflective photoelectric weft detecting device is composed of a photoelectric probe and a control box. the semi-transmission reflecting film is 45 degrees corner located between the focusing lens and a photosensitive triode, a photoelectric control circuit on two end of the photosensitive triode.","","","1988-09-01","1988-09-01",
"","浆纱机蒸汽喷浆装置","sizing the steam spraying device","","一种与纺织行业浆纱机配套使用的浆纱机蒸汽 喷浆装置，主要由进汽管、进浆管、喷汽管和喷浆管组 成，其中，喷浆管套在喷汽管外面，喷浆管上开有若干 个喷浆孔，喷汽管上开有若干个喷汽孔，浆液从进浆 管进入喷浆管后，被喷汽孔喷出的蒸汽从喷浆孔中喷 入浆槽内。本实用新型结构简单，成本低廉，浆槽内 浆液的工艺参数均能达到工艺要求。","a sizing steam spraying device matched with the sizing machine in textile industry, mainly composed of a steam inlet pipe, steam inlet, spraying pipe and pipe, wherein the slurry spraying pipe outside the spraying pipe, spraying pipe is provided with multiple spraying holes, the steam spray pipe is provided with multiple steam spraying hole, slurry enters from the inlet pipe, the steam spraying holes spraying steam sprayed from the spraying hole in the slurry groove. The utility model is simple in structure, low in cost, technical parameters of the slurry in the slurry groove can reach the technique requirement.","","","1989-05-29","1989-05-29",
